Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,40.5000000000,µg/m3,2022-01-01 01:00:00 +01:00,2022-01-01 02:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,36.0000000000,µg/m3,2022-01-01 03:00:00 +01:00,2022-01-01 04:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,33.5000000000,µg/m3,2022-01-01 04:00:00 +01:00,2022-01-01 05:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,35.5000000000,µg/m3,2022-01-01 05:00:00 +01:00,2022-01-01 06:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,34.0000000000,µg/m3,2022-01-01 06:00:00 +01:00,2022-01-01 07:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,35.0000000000,µg/m3,2022-01-01 07:00:00 +01:00,2022-01-01 08:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,36.0000000000,µg/m3,2022-01-01 08:00:00 +01:00,2022-01-01 09:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,36.0000000000,µg/m3,2022-01-01 09:00:00 +01:00,2022-01-01 10:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,36.0000000000,µg/m3,2022-01-01 10:00:00 +01:00,2022-01-01 11:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,38.0000000000,µg/m3,2022-01-01 11:00:00 +01:00,2022-01-01 12:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,40.5000000000,µg/m3,2022-01-01 12:00:00 +01:00,2022-01-01 13:00:00 +01:00,1,3
