Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,19.0000000000,µg/m3,2022-01-01 01:00:00 +01:00,2022-01-01 02:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,15.0000000000,µg/m3,2022-01-01 02:00:00 +01:00,2022-01-01 03:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,12.5000000000,µg/m3,2022-01-01 03:00:00 +01:00,2022-01-01 04:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,11.0000000000,µg/m3,2022-01-01 04:00:00 +01:00,2022-01-01 05:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,10.5000000000,µg/m3,2022-01-01 05:00:00 +01:00,2022-01-01 06:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,12.0000000000,µg/m3,2022-01-01 06:00:00 +01:00,2022-01-01 07:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,12.0000000000,µg/m3,2022-01-01 07:00:00 +01:00,2022-01-01 08:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,11.5000000000,µg/m3,2022-01-01 08:00:00 +01:00,2022-01-01 09:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,12.5000000000,µg/m3,2022-01-01 09:00:00 +01:00,2022-01-01 10:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,13.0000000000,µg/m3,2022-01-01 10:00:00 +01:00,2022-01-01 11:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,11.0000000000,µg/m3,2022-01-01 11:00:00 +01:00,2022-01-01 12:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.0000000000,µg/m3,2022-01-01 12:00:00 +01:00,2022-01-01 13:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,7.5000000000,µg/m3,2022-01-01 13:00:00 +01:00,2022-01-01 14:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,7.0000000000,µg/m3,2022-01-01 14:00:00 +01:00,2022-01-01 15:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,6.5000000000,µg/m3,2022-01-01 15:00:00 +01:00,2022-01-01 16:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,7.0000000000,µg/m3,2022-01-01 16:00:00 +01:00,2022-01-01 17:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,8.0000000000,µg/m3,2022-01-01 17:00:00 +01:00,2022-01-01 18:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,8.0000000000,µg/m3,2022-01-01 18:00:00 +01:00,2022-01-01 19:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.5000000000,µg/m3,2022-01-01 19:00:00 +01:00,2022-01-01 20:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.0000000000,µg/m3,2022-01-01 20:00:00 +01:00,2022-01-01 21:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,10.0000000000,µg/m3,2022-01-01 21:00:00 +01:00,2022-01-01 22:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,10.0000000000,µg/m3,2022-01-01 22:00:00 +01:00,2022-01-01 23:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.0000000000,µg/m3,2022-01-01 23:00:00 +01:00,2022-01-02 00:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.0000000000,µg/m3,2022-01-02 00:00:00 +01:00,2022-01-02 01:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.0000000000,µg/m3,2022-01-02 01:00:00 +01:00,2022-01-02 02:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.0000000000,µg/m3,2022-01-02 02:00:00 +01:00,2022-01-02 03:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.0000000000,µg/m3,2022-01-02 03:00:00 +01:00,2022-01-02 04:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.0000000000,µg/m3,2022-01-02 04:00:00 +01:00,2022-01-02 05:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,10.0000000000,µg/m3,2022-01-02 05:00:00 +01:00,2022-01-02 06:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.5000000000,µg/m3,2022-01-02 06:00:00 +01:00,2022-01-02 07:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.5000000000,µg/m3,2022-01-02 07:00:00 +01:00,2022-01-02 08:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.5000000000,µg/m3,2022-01-02 08:00:00 +01:00,2022-01-02 09:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,11.0000000000,µg/m3,2022-01-02 09:00:00 +01:00,2022-01-02 10:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,10.0000000000,µg/m3,2022-01-02 10:00:00 +01:00,2022-01-02 11:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,6.5000000000,µg/m3,2022-01-02 11:00:00 +01:00,2022-01-02 12:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,6.0000000000,µg/m3,2022-01-02 12:00:00 +01:00,2022-01-02 13:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,5.5000000000,µg/m3,2022-01-02 13:00:00 +01:00,2022-01-02 14:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,5.5000000000,µg/m3,2022-01-02 14:00:00 +01:00,2022-01-02 15:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,5.0000000000,µg/m3,2022-01-02 15:00:00 +01:00,2022-01-02 16:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,5.0000000000,µg/m3,2022-01-02 16:00:00 +01:00,2022-01-02 17:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,5.0000000000,µg/m3,2022-01-02 17:00:00 +01:00,2022-01-02 18:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,4.5000000000,µg/m3,2022-01-02 18:00:00 +01:00,2022-01-02 19:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,3.0000000000,µg/m3,2022-01-02 19:00:00 +01:00,2022-01-02 20:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,5.5000000000,µg/m3,2022-01-02 20:00:00 +01:00,2022-01-02 21:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,7.5000000000,µg/m3,2022-01-02 21:00:00 +01:00,2022-01-02 22:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,8.5000000000,µg/m3,2022-01-02 22:00:00 +01:00,2022-01-02 23:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.5000000000,µg/m3,2022-01-02 23:00:00 +01:00,2022-01-03 00:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.0000000000,µg/m3,2022-01-03 00:00:00 +01:00,2022-01-03 01:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.0000000000,µg/m3,2022-01-03 01:00:00 +01:00,2022-01-03 02:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.0000000000,µg/m3,2022-01-03 02:00:00 +01:00,2022-01-03 03:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,10.5000000000,µg/m3,2022-01-03 03:00:00 +01:00,2022-01-03 04:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.5000000000,µg/m3,2022-01-03 04:00:00 +01:00,2022-01-03 05:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,8.0000000000,µg/m3,2022-01-03 05:00:00 +01:00,2022-01-03 06:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,7.5000000000,µg/m3,2022-01-03 06:00:00 +01:00,2022-01-03 07:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,8.5000000000,µg/m3,2022-01-03 07:00:00 +01:00,2022-01-03 08:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.0000000000,µg/m3,2022-01-03 08:00:00 +01:00,2022-01-03 09:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,7.0000000000,µg/m3,2022-01-03 09:00:00 +01:00,2022-01-03 10:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,8.0000000000,µg/m3,2022-01-03 10:00:00 +01:00,2022-01-03 11:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,7.5000000000,µg/m3,2022-01-03 11:00:00 +01:00,2022-01-03 12:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,3.5000000000,µg/m3,2022-01-03 12:00:00 +01:00,2022-01-03 13:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,3.0000000000,µg/m3,2022-01-03 13:00:00 +01:00,2022-01-03 14:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,2.5000000000,µg/m3,2022-01-03 14:00:00 +01:00,2022-01-03 15:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,3.0000000000,µg/m3,2022-01-03 15:00:00 +01:00,2022-01-03 16:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,3.0000000000,µg/m3,2022-01-03 16:00:00 +01:00,2022-01-03 17:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETM705,BETM705,SPO-BETM705_06001_100,SPP-BETM705_06001_0,SAM-BETM705_06001,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,3.5000000000,µg/m3,2022-01-03 17:00:00 +01:00,2022-01-03 18:00:00 +01:00,1,3
