,ESTACION,daily_avg_gradual,mean_valid_2022,mean_all_2022,PUNTO_MUESTREO_CROP,geometry,lat,lon
0,4,24.810520625057055,24.723076923076924,24.636160714285715,28079004,POINT (-3.7122567 40.4238823),40.4238823,-3.7122567
1,8,34.34703121236913,34.27818683847216,34.29360730593607,28079008,POINT (-3.6823158 40.4215533),40.4215533,-3.6823158
2,11,30.92396936054764,30.88161671833735,30.90216894977169,28079011,POINT (-3.6773491 40.4514734),40.4514734,-3.6773491
3,16,28.582530418766716,29.702033036848793,29.676136363636363,28079016,POINT (-3.6392422 40.4400457),40.4400457,-3.6392422
4,17,35.25486528588096,35.0849469801752,35.16244292237443,28079017,POINT (-3.7133167 40.347147),40.347147,-3.7133167
5,18,28.102114921347617,28.01600644864118,28.03904109589041,28079018,POINT (-3.7318356 40.3947825),40.3947825,-3.7318356
6,24,17.167492735922842,17.158996299722478,17.12694597069597,28079024,POINT (-3.7473445 40.4193577),40.4193577,-3.7473445
7,27,30.20942870124979,30.185355744876812,30.137214611872146,28079027,POINT (-3.5800258 40.4769179),40.4769179,-3.5800258
8,35,31.498680001749417,31.37734537873523,31.407762557077625,28079035,POINT (-3.7031662 40.4192091),40.4192091,-3.7031662
9,36,28.558264254235066,28.739068610024884,28.62112676056338,28079036,POINT (-3.6453104 40.4079517),40.4079517,-3.6453104
10,38,29.758665118045815,29.666091755777856,29.784817351598175,28079038,POINT (-3.7071303 40.4455439),40.4455439,-3.7071303
11,39,28.095427438193017,27.995615047311333,28.025456621004565,28079039,POINT (-3.7115364 40.4782322),40.4782322,-3.7115364
12,40,30.746556651118237,30.660503043528195,30.682876712328767,28079040,POINT (-3.6515286 40.3881478),40.3881478,-3.6515286
13,47,28.933180126870948,28.8677015755329,28.762626262626263,28079047,POINT (-3.6868138 40.3980991),40.3980991,-3.6868138
14,48,27.165176362452858,27.12458338122055,27.08584474885845,28079048,POINT (-3.6903729 40.4398904),40.4398904,-3.6903729
15,49,22.36143147759975,22.293722492471623,22.175,28079049,POINT (-3.6824999 40.4144444),40.4144444,-3.6824999
16,50,32.729257658837035,32.645987084870846,32.66255707762557,28079050,POINT (-3.6887449 40.4655841),40.4655841,-3.6887449
17,54,29.19147385867943,29.097257432588155,29.311643835616437,28079054,POINT (-3.6121394 40.3730118),40.3730118,-3.6121394
18,55,31.53908915880903,31.44063047285464,31.274543378995435,28079055,POINT (-3.5805649 40.4623628),40.4623628,-3.5805649
19,56,39.83164630046205,39.763366678164886,39.76986301369863,28079056,POINT (-3.7187679 40.3850336),40.3850336,-3.7187679
20,57,25.574300232773087,25.507228086278108,25.531278538812785,28079057,POINT (-3.6605173 40.4942012),40.4942012,-3.6605173
21,58,14.435060171206898,14.428456683878371,14.469520547945205,28079058,POINT (-3.7746101 40.5180701),40.5180701,-3.7746101
22,59,21.172225381317684,21.10354723912295,21.11769406392694,28079059,POINT (-3.6163407 40.4607255),40.4607255,-3.6163407
23,60,26.12109948092638,26.056346109708514,26.06244292237443,28079060,POINT (-3.6897308 40.5005477),40.5005477,-3.6897308
