,ESTACION,daily_avg_gradual,mean_valid_2022,mean_all_2022,PUNTO_MUESTREO_CROP,geometry,lat,lon
0,4,38.01689285578475,38.34570135746606,38.99657738095238,28079004,POINT (-3.7122567 40.4238823),40.4238823,-3.7122567
1,8,51.80387839098105,51.65692590888173,52.39041095890411,28079008,POINT (-3.6823158 40.4215533),40.4215533,-3.6823158
2,11,44.960791368631085,44.89218050292801,45.56666666666667,28079011,POINT (-3.6773491 40.4514734),40.4514734,-3.6773491
3,16,42.6017828941288,44.87420584498094,45.39646464646464,28079016,POINT (-3.6392422 40.4400457),40.4400457,-3.6392422
4,17,68.01877835540228,67.55325034578146,68.77260273972603,28079017,POINT (-3.7133167 40.347147),40.347147,-3.7133167
5,18,42.05445259526543,41.87114233072317,42.54794520547945,28079018,POINT (-3.7318356 40.3947825),40.3947825,-3.7318356
6,24,22.479288630607446,22.45004625346901,23.015796703296704,28079024,POINT (-3.7473445 40.4193577),40.4193577,-3.7473445
7,27,46.378986301183886,46.30117430347686,47.083333333333336,28079027,POINT (-3.5800258 40.4769179),40.4769179,-3.5800258
8,35,48.05019088905158,47.75260597637248,48.45091324200913,28079035,POINT (-3.7031662 40.4192091),40.4192091,-3.7031662
9,36,41.50458007262399,41.918710747718926,42.74295774647887,28079036,POINT (-3.6453104 40.4079517),40.4079517,-3.6453104
10,38,47.51879651111901,47.30401287800391,48.356849315068494,28079038,POINT (-3.7071303 40.4455439),40.4455439,-3.7071303
11,39,45.03730085321397,44.783867989845376,46.115753424657534,28079039,POINT (-3.7115364 40.4782322),40.4782322,-3.7115364
12,40,45.92894185444695,45.72011025611577,46.512214611872146,28079040,POINT (-3.6515286 40.3881478),40.3881478,-3.6515286
13,47,46.645286352199605,46.62152455977757,47.2071854912764,28079047,POINT (-3.6868138 40.3980991),40.3980991,-3.6868138
14,48,36.16392051168801,36.10435582116998,36.68755707762557,28079048,POINT (-3.6903729 40.4398904),40.4398904,-3.6903729
15,49,30.0599942629245,29.910122770442438,30.23470319634703,28079049,POINT (-3.6824999 40.4144444),40.4144444,-3.6824999
16,50,47.804552463929554,47.61531365313653,48.70593607305936,28079050,POINT (-3.6887449 40.4655841),40.4655841,-3.6887449
17,54,48.306365756263546,48.14657755243144,49.48401826484018,28079054,POINT (-3.6121394 40.3730118),40.3730118,-3.6121394
18,55,51.035251835217274,50.875306479859894,51.27134703196347,28079055,POINT (-3.5805649 40.4623628),40.4623628,-3.5805649
19,56,72.04227156356188,71.85272476431363,72.49714611872146,28079056,POINT (-3.7187679 40.3850336),40.3850336,-3.7187679
20,57,36.608060226702115,36.486920605782466,37.31244292237443,28079057,POINT (-3.6605173 40.4942012),40.4942012,-3.6605173
21,58,19.536972921263146,19.516351118760756,20.279452054794522,28079058,POINT (-3.7746101 40.5180701),40.5180701,-3.7746101
22,59,29.946062415715293,29.840776030306507,30.605365296803654,28079059,POINT (-3.6163407 40.4607255),40.4607255,-3.6163407
23,60,34.332487975520564,34.21941703006656,34.97123287671233,28079060,POINT (-3.6897308 40.5005477),40.5005477,-3.6897308
