,ESTACION,daily_avg_gradual,mean_valid_2022,mean_all_2022,PUNTO_MUESTREO_CROP,geometry,lat,lon
0,8,17.449325418354544,17.544243070362473,23.395091324200912,28079008,POINT (-3.6823158 40.4215533),40.4215533,-3.6823158
1,18,21.267897795777216,21.130104083266612,24.36404109589041,28079018,POINT (-3.7318356 40.3947825),40.3947825,-3.7318356
2,24,21.196458238436758,21.11527276957078,21.117445054945055,28079024,POINT (-3.7473445 40.4193577),40.4193577,-3.7473445
3,36,22.025342138787526,22.279829039534608,22.49448356807512,28079036,POINT (-3.6453104 40.4079517),40.4079517,-3.6453104
4,38,21.79034502938021,21.412390829694324,26.45079908675799,28079038,POINT (-3.7071303 40.4455439),40.4455439,-3.7071303
5,40,22.60556962431969,22.671761866452133,22.71324200913242,28079040,POINT (-3.6515286 40.3881478),40.3881478,-3.6515286
6,47,20.918717023922568,20.87509060159459,20.96627532228361,28079047,POINT (-3.6868138 40.3980991),40.3980991,-3.6868138
7,48,17.561398130750607,17.639348052248295,17.720319634703195,28079048,POINT (-3.6903729 40.4398904),40.4398904,-3.6903729
8,50,20.469198636240897,20.627462904402822,21.62938596491228,28079050,POINT (-3.6887449 40.4655841),40.4655841,-3.6887449
9,55,25.900687874784996,25.797850501147206,26.873059360730593,28079055,POINT (-3.5805649 40.4623628),40.4623628,-3.5805649
10,56,22.301799234605514,22.396061524120253,22.801826484018264,28079056,POINT (-3.7187679 40.3850336),40.3850336,-3.7187679
11,57,17.191282699289548,17.1991643454039,17.35673515981735,28079057,POINT (-3.6605173 40.4942012),40.4942012,-3.6605173
12,60,18.61951290554583,18.593367826904984,19.53162100456621,28079060,POINT (-3.6897308 40.5005477),40.5005477,-3.6897308
