,ESTACION,mode_valid_night_2022,PUNTO_MUESTREO_CROP,geometry,lat,lon
0,8,1.0,28079008,POINT (-3.6823158 40.4215533),40.4215533,-3.6823158
1,18,7.0,28079018,POINT (-3.7318356 40.3947825),40.3947825,-3.7318356
2,24,13.0,28079024,POINT (-3.7473445 40.4193577),40.4193577,-3.7473445
3,36,9.0,28079036,POINT (-3.6453104 40.4079517),40.4079517,-3.6453104
4,38,1.0,28079038,POINT (-3.7071303 40.4455439),40.4455439,-3.7071303
5,40,9.0,28079040,POINT (-3.6515286 40.3881478),40.3881478,-3.6515286
6,47,11.0,28079047,POINT (-3.6868138 40.3980991),40.3980991,-3.6868138
7,48,8.0,28079048,POINT (-3.6903729 40.4398904),40.4398904,-3.6903729
8,50,1.0,28079050,POINT (-3.6887449 40.4655841),40.4655841,-3.6887449
9,55,11.0,28079055,POINT (-3.5805649 40.4623628),40.4623628,-3.5805649
10,56,1.0,28079056,POINT (-3.7187679 40.3850336),40.3850336,-3.7187679
11,57,8.0,28079057,POINT (-3.6605173 40.4942012),40.4942012,-3.6605173
12,60,10.0,28079060,POINT (-3.6897308 40.5005477),40.5005477,-3.6897308
