,id,geometry,lat,lon,index,PUNTO_MUESTREO_CROP
0,0,POINT (-3.7122567 40.4238823),40.4238823,-3.7122567,28079004,28079004
1,1,POINT (-3.6823158 40.4215533),40.4215533,-3.6823158,28079008,28079008
2,2,POINT (-3.6773491 40.4514734),40.4514734,-3.6773491,28079011,28079011
3,3,POINT (-3.6392422 40.4400457),40.4400457,-3.6392422,28079016,28079016
4,4,POINT (-3.7133167 40.347147),40.347147,-3.7133167,28079017,28079017
5,5,POINT (-3.7318356 40.3947825),40.3947825,-3.7318356,28079018,28079018
6,6,POINT (-3.7473445 40.4193577),40.4193577,-3.7473445,28079024,28079024
7,7,POINT (-3.5800258 40.4769179),40.4769179,-3.5800258,28079027,28079027
8,8,POINT (-3.7031662 40.4192091),40.4192091,-3.7031662,28079035,28079035
9,9,POINT (-3.6453104 40.4079517),40.4079517,-3.6453104,28079036,28079036
10,10,POINT (-3.7071303 40.4455439),40.4455439,-3.7071303,28079038,28079038
11,11,POINT (-3.7115364 40.4782322),40.4782322,-3.7115364,28079039,28079039
12,12,POINT (-3.6515286 40.3881478),40.3881478,-3.6515286,28079040,28079040
13,13,POINT (-3.6868138 40.3980991),40.3980991,-3.6868138,28079047,28079047
14,14,POINT (-3.6903729 40.4398904),40.4398904,-3.6903729,28079048,28079048
15,15,POINT (-3.6824999 40.4144444),40.4144444,-3.6824999,28079049,28079049
16,16,POINT (-3.6887449 40.4655841),40.4655841,-3.6887449,28079050,28079050
17,17,POINT (-3.6121394 40.3730118),40.3730118,-3.6121394,28079054,28079054
18,18,POINT (-3.5805649 40.4623628),40.4623628,-3.5805649,28079055,28079055
19,19,POINT (-3.7187679 40.3850336),40.3850336,-3.7187679,28079056,28079056
20,20,POINT (-3.6605173 40.4942012),40.4942012,-3.6605173,28079057,28079057
21,21,POINT (-3.7746101 40.5180701),40.5180701,-3.7746101,28079058,28079058
22,22,POINT (-3.6163407 40.4607255),40.4607255,-3.6163407,28079059,28079059
23,23,POINT (-3.6897308 40.5005477),40.5005477,-3.6897308,28079060,28079060
